;Tschechische Rep.;Tchèque, Rép.;513'503;399'546;3'738;74'219;;;36'000;;;;;
;Türkei;Turquie;4'114'500;108'152;3'038'518;142'507;;825'323;;;;;;
;Ukraine;Ukraine;182'447;168'523;;13'924;;;;;;;;
;Ungarn;Hongrie;1'688'178;76'710;3'833;1'577'447;;;;;30'188;;;
;Zypern;Chypre;6'095'366;;;;;6'095'366;;;;;;
;;;334'764'038;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Afrika;Ghana;Ghana;50'000;;50'000;;;;;;;;;
Afrique;Kenia;Kenya;187'845;138'134;;49'711;;;;;;;;
;Mali;Mali;883;883;;;;;;;;;;
;Seychellen;Seychelles;24'138;;;24'138;;;;;;;;
;Südafrika;Afrique du Sud;1'797'190;;71'010;56'550;;;;;1'669'630;;;
;;;2'060'056;;;;;;;;;;;
;;;;;;;;;;;;;;
Amerika;Argentinien;Argentine;258'160;;;;;258'160;;;;;;
Amerique;Brasilien;Brésil;10'749'860;;215'672;;;617'160;9'721'028;;196'000;;;
;Chile;Chili;363'723;2'390;31'626;93'802;;215'349;20'556;;;;;
;Ecuador ;Equateur;82'156;1'066;;81'090;;;;;;;;
;Kanada;Canada;4'189'851;991'828;2'379;103'666;;;2'825'924;;;266'054;;
;Mexiko;Mexico;763'388;763'388;;;;;;;;;;
;U.S.A;U.S.A;43'780'106;6'783'817;6'971;9'358'619;;69'061;40'608;64'901;1'239'018;24'986'562;1'230'549;
;Venezuela;Venezuela;338;;338;;;;;;;;;
;;;60'187'582;;;;;;;;;;;
;;;;;;;;;;;;;;
Asien;Arabische Emirate;Emirats arabes unis;10'193'256;264'953;524'973;8'224'635;;1'142'790;35'905;;;;;
Asie;Bahrain;Bahreïn;3'774'000;;;;;3'774'000;;;;;;
;Brunei;Brunei;284'102;104'402;;179'700;;;;;;;;
;Hongkong;Hongkong;45'376;44'776;;600;;;;;;;;
;Indien;Inde;5'140'720;3'811'923;;312'424;;972'317;;;;44'056;;
;Indonesien;Indonésie;157'515;26'674;;130'841;;;;;;;;
;Israel;Israel;49'644;;;;;;2'400;;;47'244;;
;Japan;Japon;525'543;73'915;11'268;337'535;;;;102'825;;;;
;Jordanien;Jordanie;413'206;179'560;;233'646;;;;;;;;
;Katar;Qatar;19'258;;;19'258;;;;;;;;
;Korea (Süd);Corée (Sud);4'927'775;1'921;802'347;707'579;3'415'928;;;;;;;
;Kuwait;Koweït;135'966;26'466;109'500;;;;;;;;;
;Lebanon;Liban;473'752;473'752;;;;;;;;;;
;Macau;Macao;617'497;45'476;;572'021;;;;;;;;
;Malaysia;Malaisie;476'428;56'418;;199'245;;220'765;;;;;;
;Oman;Oman;839'987;;24'187;815'800;;;;;;;;
;Pakistan;Pakistan;769'846;;;;;769'846;;;;;;
;Saudi-Arabien;Arabie Saoudite;21'897'144;906;4'265'803;3'400'000;;14'230'435;;;;;;
;Singapur;Singapour;10'547'334;157'536;107'730;7'437'062;;322'978;114'610;;2'406'118;1'300;;
;Thailand;Thaïlande;473'474;;;;;458'390;;;;15'084;;
;Vietnam;Vietnam;1'032;692;;340;;;;;;;;
;;;61'762'855;;;;;;;;;;;
;;;;;;;;;;;;;;
Australien ;Australien;Australie;2'350'169;53'762;;2'296'407;;;;;;;;
Australie;Neuseeland;Nouvelle-Zélande;67'474;67'354;120;;;;;;;;;
;;;2'417'643;;;;;;;;;;;
